level2,exp2
1,3247
2,3247
3,3247
4,3247
5,3247
6,3247
7,3247
8,3247
9,3247
10,3247
11,3247
12,3247
13,3247
14,3247
15,3247
16,3247
17,3247
18,3247
19,3247
20,3247
21,3117
22,2987
23,2856
24,2726
25,2595
26,2435
27,2269
28,2109
29,1948
30,1783
31,1460
32,1134
33,809
34,647
35,583
36,517
37,486
38,451
39,421
40,387
41,321
42,321
43,321
44,321
45,321
46,321
47,321
48,321
49,321
50,321
51,321
52,321
53,321
54,321
55,321
56,321
57,321
58,321
59,321
60,321
61,321
62,321
63,321
64,321
65,321
66,321
67,321
68,321
69,321
70,321
71,321
72,321
73,321
74,321
75,321
76,321
77,321
78,321
79,321
80,321
81,321
82,321
83,321
84,321
85,321
86,321
87,321
88,321
89,321
90,321
91,321
92,321
93,321
94,321
95,321
96,321
97,321
98,321
99,321
100,0
