level2,exp2
1,16865
2,16865
3,16865
4,16865
5,16865
6,16865
7,16865
8,16865
9,16865
10,16865
11,16865
12,16865
13,16865
14,16865
15,16865
16,16865
17,16865
18,16865
19,16865
20,16865
21,16865
22,16865
23,16865
24,16865
25,16865
26,16865
27,16865
28,16865
29,16865
30,16865
31,16865
32,16865
33,16865
34,16865
35,16865
36,16865
37,16865
38,16865
39,16865
40,16865
41,16188
42,15515
43,14838
44,14165
45,13492
46,12646
47,11803
48,10961
49,10119
50,9273
51,7588
52,5899
53,4215
54,3373
55,3034
56,2696
57,2526
58,2357
59,2192
60,2023
61,1684
62,1684
63,1684
64,1684
65,1684
66,1684
67,1684
68,1684
69,1684
70,1684
71,1684
72,1684
73,1684
74,1684
75,1684
76,1684
77,1684
78,1684
79,1684
80,1684
81,1684
82,1684
83,1684
84,1684
85,1684
86,1684
87,1684
88,1684
89,1684
90,1684
91,1684
92,1684
93,1684
94,1684
95,1684
96,1684
97,1684
98,1684
99,1684
100,0
