level2,exp2
1,14354
2,14354
3,14354
4,14354
5,14354
6,14354
7,14354
8,14354
9,14354
10,14354
11,14354
12,14354
13,14354
14,14354
15,14354
16,14354
17,14354
18,14354
19,14354
20,14354
21,14354
22,14354
23,14354
24,14354
25,14354
26,14354
27,14354
28,14354
29,14354
30,14354
31,14354
32,14354
33,14354
34,14354
35,14354
36,14354
37,14354
38,14354
39,14354
40,14354
41,13777
42,13205
43,12628
44,12056
45,11483
46,10763
47,10045
48,9329
49,8612
50,7892
51,6458
52,5020
53,3587
54,2870
55,2582
56,2294
57,2149
58,2006
59,1865
60,1721
61,1721
62,1721
63,1721
64,1721
65,1721
66,1721
67,1721
68,1721
69,1721
70,1721
71,1721
72,1721
73,1721
74,1721
75,1721
76,1721
77,1721
78,1721
79,1721
80,1721
81,1721
82,1721
83,1721
84,1721
85,1721
86,1721
87,1721
88,1721
89,1721
90,1721
91,1721
92,1721
93,1721
94,1721
95,1721
96,1721
97,1721
98,1721
99,1721
100,0
