level2,exp2
1,28825
2,28825
3,28825
4,28825
5,28825
6,28825
7,28825
8,28825
9,28825
10,28825
11,28825
12,28825
13,28825
14,28825
15,28825
16,28825
17,28825
18,28825
19,28825
20,28825
21,28825
22,28825
23,28825
24,28825
25,28825
26,28825
27,28825
28,28825
29,28825
30,28825
31,28825
32,28825
33,28825
34,28825
35,28825
36,28825
37,28825
38,28825
39,28245
40,27665
41,26511
42,25359
43,24202
44,22908
45,21610
46,20169
47,18725
48,17288
49,15120
50,12953
51,10072
52,7913
53,6190
54,5183
55,4750
56,4317
57,4026
58,3738
59,3311
60,3167
61,3167
62,3167
63,3167
64,3167
65,3167
66,3167
67,3167
68,3167
69,3167
70,3167
71,3167
72,3167
73,3167
74,3167
75,3167
76,3167
77,3167
78,3167
79,3167
80,3167
81,3167
82,3167
83,3167
84,3167
85,3167
86,3167
87,3167
88,3167
89,3167
90,3167
91,3167
92,3167
93,3167
94,3167
95,3167
96,3167
97,3167
98,3167
99,3167
100,0
