level2,exp2
1,16865
2,16865
3,16865
4,16865
5,16865
6,16865
7,16865
8,16865
9,16865
10,16865
11,16865
12,16865
13,16865
14,16865
15,16865
16,16865
17,16865
18,16865
19,16865
20,16865
21,16865
22,16865
23,16865
24,16865
25,16865
26,16865
27,16865
28,16865
29,16865
30,16865
31,16865
32,16865
33,16865
34,16865
35,16865
36,16865
37,16865
38,16865
39,16865
40,16865
41,16188
42,15515
43,14838
44,14165
45,13492
46,12646
47,11803
48,10961
49,10119
50,9273
51,7588
52,5899
53,4215
54,3373
55,3034
56,2696
57,2526
58,2357
59,2192
60,2023
61,2023
62,2023
63,2023
64,2023
65,2023
66,2023
67,2023
68,2023
69,2023
70,2023
71,2023
72,2023
73,2023
74,2023
75,2023
76,2023
77,2023
78,2023
79,2023
80,2023
81,2023
82,2023
83,2023
84,2023
85,2023
86,2023
87,2023
88,2023
89,2023
90,2023
91,2023
92,2023
93,2023
94,2023
95,2023
96,2023
97,2023
98,2023
99,2023
100,0
