level2,exp2
1,212116
2,212116
3,212116
4,212116
5,212116
6,212116
7,212116
8,212116
9,212116
10,212116
11,212116
12,212116
13,212116
14,212116
15,212116
16,212116
17,212116
18,212116
19,212116
20,212116
21,212116
22,212116
23,212116
24,212116
25,212116
26,212116
27,212116
28,212116
29,212116
30,212116
31,212116
32,212116
33,212116
34,212116
35,212116
36,212116
37,212116
38,212116
39,212116
40,212116
41,212116
42,212116
43,212116
44,212116
45,212116
46,212116
47,212116
48,212116
49,212116
50,212116
51,212116
52,212116
53,212116
54,212116
55,212116
56,212116
57,212116
58,212116
59,212116
60,212116
61,212116
62,212116
63,212116
64,212116
65,212116
66,212116
67,212116
68,212116
69,212116
70,212116
71,212116
72,212116
73,212116
74,212116
75,212116
76,212116
77,212116
78,212116
79,212116
80,212116
81,203630
82,195143
83,186661
84,178175
85,169693
86,159087
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
